gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3053709213	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2011_2011-3-24_T25_1201	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus muntjak		SPECIES	Muntiacus vaginalis (Boddaert, 1785)	Muntiacus vaginalis		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.39947	106.83636	707.1						2011-03-24	24	3	2011	5787082	2440943	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709212	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2020_2020-4-24_T7_AM_4870	Animalia	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus gabriellae		SPECIES	Nomascus gabriellae (Thomas, 1909)	Nomascus gabriellae		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.149	107.02209	707.1						2020-04-24	24	4	2020	4267267	4267267	HUMAN_OBSERVATION							CC_BY_4_0		Noeun BunThenh			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709211	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2018_2018-5-3_T2_PM_4446	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	5	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.15519	106.95605	707.1						2018-05-03	3	5	2018	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Phok Sopanha			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709210	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2014_2014-3-8_T37_PM_2522	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus muntjak		SPECIES	Muntiacus vaginalis (Boddaert, 1785)	Muntiacus vaginalis		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.4683	106.6484	707.1						2014-03-08	8	3	2014	5787082	2440943	HUMAN_OBSERVATION							CC_BY_4_0		Nut Menghor			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709209	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2011_2011-5-28_T33_1396	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa		SPECIES	Sus scrofa Linnaeus, 1758	Sus scrofa		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.45884	106.76515	707.1						2011-05-28	28	5	2011	7705930	7705930	HUMAN_OBSERVATION							CC_BY_4_0		Orn Samart			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709208	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2020_2020-3-2_T29_PM_4718	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	3	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.46051	107.01415	707.1						2020-03-02	2	3	2020	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Toeu Bann			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709207	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2020_2020-3-2_T29_PM_4717	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	5	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.4016	107.08618	707.1						2020-03-02	2	3	2020	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Toeu Bann			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709206	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2014_2014-5-5_T3_AM_3088	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	4	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.14646	107.01377	707.1						2014-05-05	5	5	2014	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Orn Samart			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709205	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2016_2016-1-11_T8_PM_3450	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.27517	106.89749	707.1						2016-01-11	11	1	2016	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Vorn Vuth			2025-10-08T02:31:47.113Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709204	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2016_2016-1-11_T8_PM_3452	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	2	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.27031	106.89152	707.1						2016-01-11	11	1	2016	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Vorn Vuth			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
